Test Type,Problem Size,Processors,Time (ms)
Strong,64x64,1,
Strong,64x64,2,
Strong,64x64,4,
Strong,64x64,8,
Strong,64x64,16,
Strong,128x128,1,
Strong,128x128,2,
Strong,128x128,4,
Strong,128x128,8,
Strong,128x128,16,
Strong,256x256,1,
Strong,256x256,2,
Strong,256x256,4,
Strong,256x256,8,
Strong,256x256,16,
Strong,512x512,1,
Strong,512x512,2,
Strong,512x512,4,
Strong,512x512,8,
Strong,512x512,16,
Strong,1024x1024,1,
Strong,1024x1024,2,
Strong,1024x1024,4,
Strong,1024x1024,8,
Strong,1024x1024,16,
Weak,64x64,1,
Weak,128x128,2,
Weak,256x256,4,
Weak,512x512,8,
Weak,1024x1024,16,
